algorithm,size,total_comparisons,sample_count
bubble_sort,10,35,1
selection_sort,10,45,1
insertion_sort,10,21,1
merge_sort,10,23,1
quick_sort,10,25,1
bubble_sort,11,52,1
selection_sort,11,55,1
insertion_sort,11,33,1
merge_sort,11,27,1
quick_sort,11,29,1
bubble_sort,12,63,1
selection_sort,12,66,1
insertion_sort,12,36,1
merge_sort,12,31,1
quick_sort,12,41,1
bubble_sort,13,68,1
selection_sort,13,78,1
insertion_sort,13,42,1
merge_sort,13,34,1
quick_sort,13,36,1
bubble_sort,14,85,1
selection_sort,14,91,1
insertion_sort,14,54,1
merge_sort,14,38,1
quick_sort,14,39,1
bubble_sort,15,102,1
selection_sort,15,105,1
insertion_sort,15,67,1
merge_sort,15,42,1
quick_sort,15,57,1
bubble_sort,16,105,1
selection_sort,16,120,1
insertion_sort,16,63,1
merge_sort,16,46,1
quick_sort,16,44,1
bubble_sort,17,108,1
selection_sort,17,136,1
insertion_sort,17,66,1
merge_sort,17,51,1
quick_sort,17,69,1
bubble_sort,18,147,1
selection_sort,18,153,1
insertion_sort,18,87,1
merge_sort,18,57,1
quick_sort,18,54,1
bubble_sort,19,168,1
selection_sort,19,171,1
insertion_sort,19,130,1
merge_sort,19,53,1
quick_sort,19,55,1
bubble_sort,20,189,1
selection_sort,20,190,1
insertion_sort,20,81,1
merge_sort,20,63,1
quick_sort,20,88,1
bubble_sort,21,209,1
selection_sort,21,210,1
insertion_sort,21,109,1
merge_sort,21,63,1
quick_sort,21,75,1
bubble_sort,22,195,1
selection_sort,22,231,1
insertion_sort,22,106,1
merge_sort,22,76,1
quick_sort,22,66,1
bubble_sort,23,247,1
selection_sort,23,253,1
insertion_sort,23,129,1
merge_sort,23,79,1
quick_sort,23,79,1
bubble_sort,24,266,1
selection_sort,24,276,1
insertion_sort,24,148,1
merge_sort,24,84,1
quick_sort,24,83,1
bubble_sort,25,290,1
selection_sort,25,300,1
insertion_sort,25,161,1
merge_sort,25,87,1
quick_sort,25,90,1
bubble_sort,26,325,1
selection_sort,26,325,1
insertion_sort,26,195,1
merge_sort,26,92,1
quick_sort,26,111,1
bubble_sort,27,350,1
selection_sort,27,351,1
insertion_sort,27,229,1
merge_sort,27,95,1
quick_sort,27,122,1
bubble_sort,28,378,1
selection_sort,28,378,1
insertion_sort,28,219,1
merge_sort,28,96,1
quick_sort,28,137,1
bubble_sort,29,403,1
selection_sort,29,406,1
insertion_sort,29,211,1
merge_sort,29,105,1
quick_sort,29,146,1
bubble_sort,30,414,1
selection_sort,30,435,1
insertion_sort,30,206,1
merge_sort,30,109,1
quick_sort,30,131,1
bubble_sort,31,450,1
selection_sort,31,465,1
insertion_sort,31,262,1
merge_sort,31,119,1
quick_sort,31,123,1
bubble_sort,32,468,1
selection_sort,32,496,1
insertion_sort,32,280,1
merge_sort,32,126,1
quick_sort,32,133,1
bubble_sort,33,500,1
selection_sort,33,528,1
insertion_sort,33,310,1
merge_sort,33,124,1
quick_sort,33,132,1
bubble_sort,34,540,1
selection_sort,34,561,1
insertion_sort,34,336,1
merge_sort,34,137,1
quick_sort,34,127,1
bubble_sort,35,589,1
